[SETTINGS]
start	1
width	320
height	240

#id	type	file
# type: 0: intro, 1: play scene 
[SCENES]
0	intro.txt
1	scene01.txt
2	scene02.txt
5	scene0005.txt

# id	file 
[TEXTURES]
-100	textures\bbox.png
0	textures\mario.png
10	textures\enemies.png
20	textures\misc.png
40	textures\misc_left.png
50	textures\enemies_2.png
60	textures\background.png
70	textures\misc3.png
80	textures\misc2-removebg.png
81	textures\misc_right_rmbg.png
120	textures\hud_source_dark.png
100	textures\HUD.png
110	textures\hud_source.png
120	textures\hud_source_dark.png
130	textures\hud_source_blue.png
140	textures\mario_world_map.png
150	textures\world_map_source.png
160	textures\hidden_map_source.png
170	textures\full_hidden_map.png
180	textures\dialogs_rmbg.png
190	textures\card.png
